#,Image,Note,Al,Si,P,S,Cl,Ar,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,HfL,PbL,Compton,elastic,Flux0,Flux1,Flux,Pixels
           0,Cr,Vein3,405213.,91706.,9641.,9737.,5966.,5320.,18177.,499646.,0.,39.7,830.,4050.,66.2,16.7,6.8,2.63,0.78,0.,0.,0.,0.,4.39,1113.,24.2,22.3,0.,16.5,8332970.,2923410.,208.,64.3,2.38e+8,2385000.
           1,Cr,Vein2,302959.,83905.,0.,6621.,4229.,4863.,16415.,465657.,0.,46.,698.,3797.,53.9,16.8,11.1,5.,0.5,0.,0.,0.,0.,5.1,1227.,32.6,20.,0.,28.,8351120.,2921820.,208.,64.4,34600000.,345817.
           2,Cr,Vein1,313554.,76353.,0.,5137.,3895.,4254.,15746.,427322.,0.,48.,766.,4119.,65.1,18.6,14.5,12.2,2.5,0.,0.4,0.9,0.,7.2,949.,29.4,29.1,0.,28.,8373440.,2921320.,208.,64.6,67800000.,678338.
           3,Cr,Submerged1,0.,2763.,0.,0.,0.,1694.,13949.,279599.,167.,102.,1059.,24632.,413.,42.,313.,94.,1.7,0.,0.,0.,0.,31.2,547.,34.,52.,3.,37.,8414090.,2916700.,208.,64.8,2833500.,28355.
           4,Cr,Quartz_submerged,0.,31827.,0.,0.,0.,471.,8286.,176711.,163.,61.,504.,7408.,100.,26.,46.,28.4,4.3,0.,1.8,4.7,0.,29.2,414.,37.2,80.,7.,24.,8528450.,2912850.,208.,65.2,5654800.,56568.
           5,Cr,Quartz,0.,78679.,0.,0.,0.,0.,1641.,60455.,26.,72.,196.,2455.,40.,32.2,18.4,14.7,10.3,0.,7.,9.6,0.,18.7,243.,47.8,85.,20.,63.,8651670.,2907590.,208.,65.7,10300000.,102690.
           6,Cr,Plagioclase,0.,80936.,0.,0.,0.,0.,2503.,89698.,10.,70.,282.,2752.,36.,28.,20.,16.,10.,0.,6.,9.,0.,19.,464.,47.,73.,25.,54.,8594240.,2914900.,208.,65.4,496958.,4973.
           7,Cr,Orthoclase,0.,0.,0.,0.,0.,2299.,46356.,35205.,1694.,36.,187.,1966.,13.,15.,3.,0.,0.,0.,0.,0.,0.,192.,1286.,19.,24.,0.,97.,8573380.,2902850.,208.,65.4,183366.,1835.
           8,Cr,Opaque,0.,0.,0.,0.,0.,925.,12014.,332712.,364.,53.,1376.,41687.,682.,124.,769.,185.,0.,44.,0.,0.,10.,0.,607.,0.,8.,0.,3.,8328140.,2911500.,208.,64.5,1292910.,12939.
           9,Cr,Oligoclase,0.,364.,0.,0.,0.,0.,0.,26549.,0.,90.,125.,1610.,8.,16.,17.,18.,4.,0.,6.,10.,0.,17.,180.,41.,82.,23.,66.,8667780.,2906110.,208.,65.9,23283.,233.
